,Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
3,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2020,0.1803571428571431,331.2208642857149,0.04392857142857132,0.46928571428571475,0.5307142857142848,0.6621428571428591,0.04,0.02,0.02,0.030714285714286582,0.049999999999999996,0.01892857142857185,0.15535714285714297,49.67821428571428,0.15892857142857153,0.4978571428571428,0.35607142857142904,0.02392857142857141,0.02
4,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2021,0.18142857142857172,319.8425428571427,0.041428571428570926,0.4714285714285711,0.5285714285714285,0.6571428571428584,0.04,0.02,0.02,0.03285714285714292,0.049999999999999996,0.020000000000000018,0.15714285714285703,49.67285714285714,0.1599999999999997,0.492857142857142,0.3614285714285721,0.024285714285714244,0.02
5,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2022,0.18250000000000033,308.46422142857045,0.038928571428571423,0.4735714285714283,0.5264285714285712,0.6521428571428576,0.04,0.02,0.02,0.03500000000000014,0.049999999999999996,0.02107142857142863,0.15892857142857153,49.667500000000004,0.1610714285714283,0.487857142857143,0.36678571428571516,0.02464285714285719,0.02
6,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2023,0.1835714285714285,297.0858999999982,0.03642857142857103,0.47571428571428553,0.524285714285714,0.6471428571428586,0.04,0.02,0.02,0.037142857142857366,0.049999999999999996,0.022142857142857242,0.1607142857142856,49.662142857142854,0.16214285714285692,0.4828571428571422,0.3721428571428582,0.025000000000000022,0.02
7,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2024,0.1846428571428571,285.7075785714296,0.03392857142857064,0.47785714285714276,0.5221428571428568,0.6421428571428578,0.04,0.02,0.02,0.03928571428571459,0.049999999999999996,0.023214285714285854,0.1625000000000001,49.65678571428572,0.16321428571428553,0.4778571428571414,0.3775000000000013,0.025357142857142856,0.02
8,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2025,0.18571428571428572,274.3292571428574,0.03142857142857114,0.48,0.5199999999999996,0.6371428571428588,0.04,0.02,0.02,0.041428571428571814,0.049999999999999996,0.024285714285714466,0.16428571428571415,49.651428571428575,0.16428571428571415,0.4728571428571424,0.38285714285714434,0.02571428571428569,0.02
9,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2026,0.18678571428571433,262.95093571428515,0.02892857142857075,0.4821428571428572,0.5178571428571423,0.632142857142858,0.04,0.02,0.02,0.04357142857142904,0.049999999999999996,0.025357142857143078,0.16607142857142865,49.64607142857143,0.16535714285714276,0.46785714285714164,0.3882142857142856,0.026071428571428523,0.02
10,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2027,0.18785714285714294,251.57261428571292,0.026428571428571246,0.48428571428571443,0.5157142857142851,0.627142857142859,0.04,0.02,0.02,0.04571428571428626,0.049999999999999996,0.02642857142857169,0.1678571428571427,49.64071428571429,0.16642857142857137,0.46285714285714263,0.3935714285714287,0.026428571428571468,0.02
11,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2028,0.18892857142857156,240.19429285714432,0.023928571428570855,0.48642857142857165,0.5135714285714279,0.6221428571428582,0.04,0.02,0.02,0.047857142857143486,0.049999999999999996,0.027500000000000302,0.1696428571428572,49.635357142857146,0.16749999999999998,0.45785714285714185,0.39892857142857174,0.0267857142857143,0.02
12,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2029,0.19000000000000017,228.81597142857208,0.021428571428571352,0.4885714285714289,0.5114285714285707,0.6171428571428592,0.04,0.02,0.02,0.05000000000000071,0.049999999999999996,0.028571428571428914,0.17142857142857126,49.63,0.1685714285714286,0.45285714285714285,0.4042857142857148,0.027142857142857135,0.02
