WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2016,44.1942216725189,4.04359673024523,35553.1676198856,1.02065512205299,3.15258855585831,4.3652471246503,3676.4596552458,133.072027689031,1415.08153780618,268.506975505857,1450.01367312194,22.561618635703,27.8399752041117,57600.4442026828,0.153530477278659,2.13003006073557,3.76377381821015,13487.1582581488,117.904326728094,5855.63904308417,840.225584932936,11297.8946281656
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2017,43.9173439952161,3.53258584442887,36244.0914976262,1.0124210954999,2.75052557813595,4.34323738780563,3241.58465309514,137.532129206481,1380.44440382219,254.328599916909,1028.14981096801,22.9281206995235,6.51178857408195,54638.5688988454,0.124611259616942,1.46611734666944,3.64170671283799,11970.7436471877,125.588356070478,4864.89092399848,738.049602644789,9764.86553436293
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2018,43.1697645721445,3.52346805736636,36439.0603960396,1.01139601139601,2.58930899608866,4.33177706448789,3568.82770736434,150.002308139535,1478.37633333333,292.97925,1192.7826996124,23.0708137199414,6.05188779019711,49796.5391089707,0.114751813029296,1.26296658078198,3.79647766967551,14442.9845830908,173.421360152896,7620.05651936354,2741.37562810553,11200.2224088277
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2019,42.3629123029078,3.70109748224661,40725.0937443006,1.01425343299148,2.70432537120723,4.18367889420521,4145.24509310161,156.938829579713,1606.25325234971,331.464830643731,1578.68131583614,23.1778874506431,6.94211058047554,60695.1294692732,0.137552125974106,1.38340595214569,3.62236537982975,15410.4774299714,124.480816171235,6556.97008686887,3343.24628519345,12328.8067063596
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2020,41.20170274297,4.46703296703297,40743.0769615192,1.01356743814844,2.11538461538462,4.04087477219474,3582.26191798726,155.524211730109,1293.29049991831,258.360591406633,1448.64153569678,23.3568587952265,11.2311972268355,44373.9242491014,0.12875693124307,0.383189025357292,3.52796058669042,14675.5520818284,135.45615002518,5979.5786749397,1695.87414325167,12510.767336935
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2011,44.3026886953972,2.78910891089109,26146.3393270429,1.00567326618039,2.63663366336634,4.92126044621636,2654.98090162973,146.466661585366,1467.69344277674,427.36794793621,301.120915113143,23.5193988904923,1.52379174122685,11845.194762173,0.081041396696984,1.71218043051708,4.16886075269141,6853.72084785761,121.664537118195,4891.488069623,1389.67177697842,3398.50179707537
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2012,44.4756665497179,2.81850875089907,26041.0296652993,1.00753623188406,2.60728842004315,4.77745754790466,2569.18637840056,133.940915596223,1526.15089506716,365.548920757816,243.951211890244,23.4967605934206,1.51393298246753,11816.2476357476,0.0984017122367948,1.47259037269797,4.07968838322575,8803.59264640285,104.971240517718,7781.2968111443,1139.50604885677,2554.28037714939
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2013,44.8006704037565,2.76978417266187,26098.9662052849,1.00707230112806,2.57745803357314,4.70765370138018,2658.08126808812,140.218704568288,1552.92484132143,338.599687961704,280.090758962849,23.5081350734366,1.4734390047711,11916.447774218,0.0885495610277815,1.17066988991874,4.0519732739313,9854.64973402987,116.938399934057,8572.66118759737,953.288916455233,3354.33776680672
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2014,44.9383389656114,2.7646484375,26971.8992098438,1.0082498526812,2.58837890625,4.78860367162044,2765.90869169443,149.280157691163,1648.07114787266,333.401518595656,269.693999286054,23.5500552723125,1.46436058245422,14352.8526106321,0.100339755386232,1.24995793198442,4.10374217881344,10181.8533011383,120.295221387379,9065.09423347021,1023.21154475469,2756.14435428936
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2015,45.0016094425696,2.87996369412299,27238.9846366201,1.01022315691085,2.59927388245972,4.80410256410256,2842.2196555182,146.554632044851,1536.26536559457,359.586084390676,273.588831475255,23.7430854640849,1.55380872702808,14628.2372374566,0.110025290272988,1.31701371271482,4.07963364249635,10697.782015062,124.153067919181,8961.60151689538,1747.67303431918,3045.97083839172
